Percent_Stride,BF_Right_4p0_Mean,BF_Right_4p0_Std,BF_Right_5p0_Mean,BF_Right_5p0_Std,BF_Right_6p0_Mean,BF_Right_6p0_Std,BF_Right_7p0_Mean,BF_Right_7p0_Std,BF_Right_7p5_Mean,BF_Right_7p5_Std,BF_Right_8p0_Mean,BF_Right_8p0_Std,BF_Left_4p0_Mean,BF_Left_4p0_Std,BF_Left_5p0_Mean,BF_Left_5p0_Std,BF_Left_6p0_Mean,BF_Left_6p0_Std,BF_Left_7p0_Mean,BF_Left_7p0_Std,BF_Left_7p5_Mean,BF_Left_7p5_Std,BF_Left_8p0_Mean,BF_Left_8p0_Std
16,0.998711302209376,0.0080535474566363,0.984137309415313,0.00609530991171103,0.988146689957742,0.00406019038570746,0.983546566070119,0.00578966367370356,0.99770977858672,0.0019748618532274,0.970704622194065,0.00332172145667885,0.993167866331966,0.0114263941858609,0.992233599542258,0.0163794777129563,1.00155461664314,0.0126849661567889,1.00959376016393,0.00464357331404547,0.993782458407766,0.00730409822529308,1.01885373035016,0.00472026821133802
17,0.994984440810807,0.008880472271753,0.979301150800732,0.00526263065003352,0.983008295862475,0.00374813119218287,0.978322633581025,0.0052182841330232,0.991687130143629,0.00239687102428454,0.966693472009507,0.00331930738860852,1.00017838539824,0.00996793450842143,0.99873760825398,0.0158419105654645,1.00824146525591,0.012478574895802,1.01586529817186,0.00444492080011212,1.00077730726692,0.00634401032435249,1.02789268418878,0.00449828823774
18,0.991471100901495,0.009659691618272,0.97484976917147,0.00449698300496769,0.978207481891033,0.00330656113937715,0.973474444095105,0.0046956803911646,0.98579921161782,0.0027143067440609,0.962965991526981,0.00324299976429863,1.00707862206626,0.00858226741938204,1.00517767632866,0.0154580622844251,1.01492221033273,0.0122759469173572,1.02200136775192,0.00427203534093334,1.00754885690118,0.00557241867310379,1.03676033881996,0.00428135905736489
19,0.98817508559812,0.0102699482330834,0.970835561099713,0.00379826898203289,0.97381308003963,0.0027587290859586,0.969136725070431,0.00421398901722399,0.980153794972093,0.00286795789142248,0.959530558226324,0.00309635019939492,1.01382551465123,0.00741139369348287,1.01156299703708,0.0151732842487627,1.02158864163659,0.0120911466786833,1.02809433802318,0.00411053783200155,1.01413946560114,0.00505397071981888,1.04544938553199,0.0040374409954715
20,0.985095411771876,0.0106626498248689,0.967309474592744,0.00316018910736089,0.969879332197499,0.00214069800452703,0.965401318332597,0.00377198909651012,0.974855462705224,0.0028274712090637,0.956364631473438,0.00289049296309544,1.02038729822825,0.00656937056248125,1.01791165089056,0.0149466784497163,1.02823039884221,0.0119317421161105,1.0342110928504,0.00393503198724798,1.02059294402953,0.00480690816029484,1.05392794805679,0.00373660097182812
21,0.982232892178171,0.0107444696510008,0.964335757463862,0.00254978517034042,0.966471367676926,0.00147078026230799,0.962304224331321,0.00337656166327571,0.969996929167809,0.0026016226463044,0.953418957313276,0.00264156338329602,1.02673425702382,0.0061113980282488,1.02423215608948,0.0147526943736664,1.03483370315619,0.011796225740181,1.04038340852601,0.00372913101156967,1.02695785069013,0.00479699207767712,1.0622119002804,0.00342429996008986
22,0.97961926757641,0.0104890191677412,0.961959087789854,0.00200672904532623,0.96357845480389,0.000816556808008184,0.959824744805896,0.00303973846260422,0.965648623998028,0.00224214275762116,0.950628251936587,0.00236697726162138,1.03291215918327,0.00594802869711842,1.03057209444265,0.0145841923677232,1.04138915760887,0.0116766171901685,1.04662904950394,0.00350158602222066,1.03328921304919,0.00496007366249306,1.07032512712376,0.00312242980510277
23,0.977256796560608,0.00994119031365703,0.960126171489461,0.00154709114568416,0.961200547322223,0.000221230808045146,0.957894951618935,0.00277259369443147,0.961848844503222,0.00184051335518428,0.947923013468349,0.00208257270651386,1.03894591308027,0.00597061311478359,1.03694144217442,0.01443596841872,1.04789869316789,0.011558312449242,1.05296369892968,0.0032529868587016,1.03962943180982,0.00521652699443545,1.07827289325046,0.0028282954346866
24,0.975167593986973,0.0091227308563072,0.958815328476001,0.00127522542407156,0.959336331306255,0.00029742369206894,0.956414768912907,0.00257954980577783,0.95859683556045,0.0015046175806539,0.945236746273877,0.00180148539577432,1.0448542755131,0.00609912072956361,1.04335632973523,0.0142990009370371,1.05437411325048,0.0114235500404636,1.0593896370403,0.00298015001200597,1.0460035858922,0.00548539432711234,1.08601870217992,0.00254180360927341
25,0.973377840701392,0.00811006897966351,0.958009976194463,0.00125735918543299,0.957926242049543,0.000694942596510883,0.955268415307617,0.00245666256205103,0.955849373149652,0.00129685725732641,0.942505974261868,0.0015340270087153,1.05068425727597,0.00627580584939666,1.04982589129042,0.0141564273322223,1.06082809890903,0.0112514870593552,1.06588447279143,0.00268953524693798,1.05243618779643,0.00574160822572665,1.09347456446602,0.00226356923928983
26,0.971863925047554,0.00700386216759696,0.957643946272901,0.0014793227321423,0.956906647983107,0.000999188945719376,0.954339050742016,0.00239431603586002,0.953524294154592,0.00117404282334616,0.939660896704437,0.0012856400255297,1.05643129093993,0.00647410095481585,1.0563511970063,0.0139697038369809,1.06726257429946,0.0110183967758557,1.07239969782525,0.00240386774004869,1.05894589908777,0.00598177078334599,1.10048297701872,0.00199008064142646
27,0.970614985304599,0.00586757079517852,0.95761354756178,0.00178033123568861,0.956201860599914,0.00121133426630966,0.953519188755871,0.00238184006314077,0.951514701391239,0.00104132870059526,0.936629784010342,0.00106171186167279,1.06206836699421,0.00666274544716912,1.06288826774567,0.0137006431490603,1.07365743043942,0.0106995505635272,1.07886078930636,0.00216886734650986,1.06554579703956,0.00618229168031929,1.10687439128086,0.00176246676036211
