Percent_Stride,hip_flexion_constantrun_3p0_Mean,hip_flexion_constantrun_3p0_Std,knee_angle_constantrun_3p0_Mean,knee_angle_constantrun_3p0_Std,pelvis_tx_constantrun_3p0_Mean,pelvis_tx_constantrun_3p0_Std,hip_flexion_constantrun_4p0_Mean,hip_flexion_constantrun_4p0_Std,knee_angle_constantrun_4p0_Mean,knee_angle_constantrun_4p0_Std,pelvis_tx_constantrun_4p0_Mean,pelvis_tx_constantrun_4p0_Std,hip_flexion_constantrun_5p0_Mean,hip_flexion_constantrun_5p0_Std,knee_angle_constantrun_5p0_Mean,knee_angle_constantrun_5p0_Std,pelvis_tx_constantrun_5p0_Mean,pelvis_tx_constantrun_5p0_Std,hip_flexion_constantrun_6p0_Mean,hip_flexion_constantrun_6p0_Std,knee_angle_constantrun_6p0_Mean,knee_angle_constantrun_6p0_Std,pelvis_tx_constantrun_6p0_Mean,pelvis_tx_constantrun_6p0_Std,hip_flexion_constantrun_jog_Mean,hip_flexion_constantrun_jog_Std,knee_angle_constantrun_jog_Mean,knee_angle_constantrun_jog_Std,pelvis_tx_constantrun_jog_Mean,pelvis_tx_constantrun_jog_Std,hip_flexion_fly_3p0_Mean,hip_flexion_fly_3p0_Std,knee_angle_fly_3p0_Mean,knee_angle_fly_3p0_Std,pelvis_tx_fly_3p0_Mean,pelvis_tx_fly_3p0_Std,hip_flexion_fly_4p0_Mean,hip_flexion_fly_4p0_Std,knee_angle_fly_4p0_Mean,knee_angle_fly_4p0_Std,pelvis_tx_fly_4p0_Mean,pelvis_tx_fly_4p0_Std,hip_flexion_fly_5p0_Mean,hip_flexion_fly_5p0_Std,knee_angle_fly_5p0_Mean,knee_angle_fly_5p0_Std,pelvis_tx_fly_5p0_Mean,pelvis_tx_fly_5p0_Std,hip_flexion_fly_6p0_Mean,hip_flexion_fly_6p0_Std,knee_angle_fly_6p0_Mean,knee_angle_fly_6p0_Std,pelvis_tx_fly_6p0_Mean,pelvis_tx_fly_6p0_Std,hip_flexion_fly_jog_Mean,hip_flexion_fly_jog_Std,knee_angle_fly_jog_Mean,knee_angle_fly_jog_Std,pelvis_tx_fly_jog_Mean,pelvis_tx_fly_jog_Std
30.0,0.4782384869468846,11.909225021656166,78.33867650797787,11.355309664035055,-0.006041399816047211,0.08598134039496744,2.228562993392412,8.920166460452515,90.97002800742594,12.084074447595453,-0.01185225234690249,0.07882492450814765,3.7781067807547686,10.10832449940146,97.24024850999702,14.496802220160507,0.0057874821695542205,0.09341569991827585,13.768793894139542,19.212810158600718,95.85459716965553,17.71843563904731,-0.04735593572912537,0.17347323618722305,2.535036840933544,17.620715005509446,88.12460573352567,13.690066466403294,-0.027710183605740887,0.10295396965613697,5.166403738440961,14.260315333664904,74.67022010848214,12.549620868621588,-0.1215742608445738,0.1364433294535804,7.835291325801675,13.484643605057268,88.01158160272381,14.697272755336519,-0.11657444654990351,0.11026474245992184,12.293093705066237,14.446910649828183,92.85658973578806,14.45068424648706,-0.10295239159006095,0.12366187959775708,15.15567400812312,15.364444012633301,96.5913126249716,14.734074697925845,-0.08781992401265515,0.11674998131796513,3.2051484131054977,15.02499908039056,79.72277419234635,13.13727781899795,-0.1068900144079091,0.12759409837235278
31.0,1.6141134921554985,11.815725014005091,79.27974274428996,11.477252794703602,-0.007276729108060717,0.08622176370827206,3.755881387746119,9.030841921371858,91.94075659383668,12.211912994288008,-0.014664491146351998,0.0787160565424362,5.484538814635159,10.249209784462535,98.22925621265473,14.723814276664756,0.0021444669561511776,0.09209642884254414,15.254596267877234,18.907108912759266,96.73501094734249,17.713979350824857,-0.0493893862133156,0.17316710040352423,3.991918253454461,17.454430138098772,89.22435083264426,13.502548273594556,-0.028868116582297362,0.10110303118866892,6.639819105269543,14.462097388651472,76.01522521499108,12.495515621201758,-0.12355852090833694,0.13772673607053298,9.419575233259126,13.808869532077473,89.20214228473827,14.797270315429087,-0.11967771073847243,0.1106565062029035,14.285879358145174,14.201334635763752,94.04357445622104,14.530227268555118,-0.10719408542228191,0.12092389239573378,16.78327643480641,15.296708349872251,97.41659193806306,14.62689042488882,-0.09022893684193163,0.11699262879179613,4.649285598931895,14.993567106367523,81.04653534132771,13.127732973917,-0.10876156307753305,0.12727278311062823
32.0,2.7619566879175133,11.74066553273338,80.15619643181441,11.62808528438515,-0.008735599154901217,0.08662297005551199,5.322428958349237,9.151470279452756,92.86160519339076,12.355460249707058,-0.01801052832443682,0.07800716500122713,7.219162150862625,10.416287096446172,99.15781425904298,14.950248239070705,-0.001675652960262471,0.09106773186431907,16.730495461240448,18.61268884709838,97.54036179733264,17.67914873301905,-0.05130794049785563,0.17296460669569627,5.4744989063519585,17.220203324134896,90.26341746506175,13.33069867245169,-0.030521820322456553,0.09896873637453385,8.120935600712299,14.635139819477258,77.2847965067002,12.429922842299804,-0.12580321206692205,0.13915803021026138,11.034897029986212,14.125492541628564,90.32800608774426,14.87983794085005,-0.12292820965333594,0.11111106368159848,16.307961686918453,14.027842344989104,95.1397630789,14.577135271636768,-0.11177681308270013,0.11873142547814805,18.393047229670763,15.160756489766705,98.1667415445574,14.479441940576665,-0.09276961364785648,0.11713114757900084,6.135364862603639,14.996569004801708,82.3114936525561,13.144391497404941,-0.11086510745903663,0.12678311173836246
33.0,3.921532735540595,11.687622856218264,80.97706858967362,11.784179061957271,-0.01037358615170795,0.08709887182926987,6.921840891887438,9.273674343327338,93.73631531761954,12.501637757268853,-0.02186988580041424,0.07698506325236842,8.980541379564295,10.602247748109548,100.04070004534647,15.158218871345067,-0.005908801903562365,0.09057770001137568,18.189008040088712,18.30647638534021,98.24056775165157,17.5862471921383,-0.053059562854275516,0.17264860716019628,6.969537201784074,16.936469898658448,91.21576189499763,13.17254630066286,-0.03249527279407672,0.09678090259095998,9.621023852983601,14.762235464951972,78.49692131716132,12.359059794359304,-0.12831839116465094,0.1405249051343619,12.664093334696691,14.43471609386116,91.38445932136356,14.914120062873037,-0.12622722214058543,0.1117452323188634,18.361375812481977,13.923792206873665,96.16563652435725,14.592094755937307,-0.11682097911770421,0.11701246065881449,19.99609136469058,14.995181968140672,98.84433432525286,14.309765658428587,-0.09542537224296638,0.11714903576106475,7.677903573203121,15.014153810139714,83.53273542954098,13.186002635673013,-0.11351560862418085,0.12590925799141187
34.0,5.09083953673149,11.650846466366573,81.73800797435294,11.924770575765175,-0.012137518257183134,0.08759760212461723,8.547435966287024,9.382015695366478,94.55824199222751,12.641814937801621,-0.0261348077121667,0.07583144741153211,10.751074605811114,10.801932143876481,100.84427592547196,15.323983951827513,-0.010459164058509877,0.09075256109356135,19.622361683141726,17.9690238115841,98.812719048568,17.43090309764882,-0.05461237727144897,0.1721066352697719,8.466638314975635,16.623802924500264,92.04610953737321,13.015052317493952,-0.03465405019035201,0.09471934147311442,11.138862436142247,14.828199415122436,79.64925178211739,12.28753434529682,-0.13107860134933447,0.14178669263993512,14.303975417289791,14.73369069358303,92.35081859661116,14.878181618066856,-0.12955243169152048,0.11252437007950192,20.424770421771992,13.875505083009358,97.0975376247176,14.559781896011362,-0.12218818934513832,0.11560295235991547,21.58894491416926,14.808738307163066,99.4476772602288,14.134820500583787,-0.09818702790644487,0.11711925502456953,9.276391760345767,15.036432879700271,84.70569793576821,13.236658366575302,-0.11670414665803298,0.12485327787456545
35.0,6.274815600493531,11.625200255016452,82.43963052567682,12.05838658367686,-0.014120022228761218,0.0880347364453053,10.194094781885713,9.467222458908122,95.30670802831048,12.774972874541708,-0.030585681935151418,0.07467939704128956,12.51332193467642,11.004557209640081,101.52893501919267,15.425688499485016,-0.015134412266208186,0.09156015127449228,21.021978780216394,17.58147078622748,99.29894243778757,17.275219497072417,-0.05599007371234248,0.17136741909789865,9.969759673965731,16.311571217377008,92.72234112690496,12.838024105486475,-0.036984237012103044,0.09289341292455783,12.671420726992224,14.808106809829706,80.73440426995465,12.21770183741858,-0.13411644284186788,0.14293445826373793,15.964322207126111,15.020755191655779,93.21254079891598,14.77756667676428,-0.13305222037087627,0.11340012990805905,22.49676164496331,13.871455454115583,97.94936413801238,14.475088181368198,-0.12790931065799935,0.11429417332180837,23.16987886297905,14.607942361739616,99.99083625744181,13.981151877290026,-0.10115346278639333,0.11715750529804975,10.947505787041395,15.072329981672848,85.8390547500399,13.294048874088801,-0.12063189303915303,0.12396782424861826
36.0,7.483017945913422,11.629692152631943,83.0803018442372,12.165785648029926,-0.016379808063703195,0.08859700022196608,11.890496076774115,9.519203062384674,95.99019285705779,12.88200293842397,-0.03543466950284326,0.07329109113730829,14.279552807981558,11.189242922094506,102.07573983281385,15.476911857913644,-0.01990145469400544,0.09260329928566012,22.386904717522548,17.176718984814052,99.70454289157476,17.122124186301075,-0.05729294668977371,0.170393559949274,11.47302083704105,15.980705691955057,93.27749734783131,12.66052402087491,-0.039463081090924584,0.09126967484256446,14.225961010591558,14.74518801299866,81.73653462532155,12.144415975475285,-0.13739221285562495,0.14401065562974652,17.646808661948608,15.284920171712436,93.95708420328637,14.6237097167569,-0.13674741511981156,0.11421643306593286,24.54575568282574,13.907619919280783,98.69026668412465,14.341620072645433,-0.13368953694677144,0.11316595968601244,24.74071436913338,14.379966119980255,100.46645550611962,13.828208619927288,-0.10444675844092885,0.11717877555538793,12.672767418500161,15.126800416217984,86.90746508803282,13.331824820119463,-0.12506572978520006,0.12336909550921775
37.0,8.705500032987953,11.649875190028952,83.63954972312149,12.231322284064053,-0.018837221074514923,0.08923625566050598,13.646169730172604,9.54140880090731,96.62072171378877,12.960267460474165,-0.040867958850906806,0.0714451620745589,16.05887804070357,11.337835341341231,102.4871775040188,15.502855068720208,-0.024674930719241536,0.09359189495951462,23.72973928263655,16.788878804619706,100.05784980214764,16.967565937337156,-0.05871629865454446,0.16921895490599212,12.967616650625681,15.60835476245243,93.74176636168988,12.506507711135812,-0.04210625355593214,0.08979837732718693,15.820364008716334,14.706896904812579,82.66056356436697,12.06640391168523,-0.1409977502742045,0.14516761626046706,19.364169978012175,15.534665159435908,94.62144232462485,14.474631363679146,-0.1407491820027605,0.1148691673206825,26.566434506431527,13.981592364264607,99.31725196798214,14.19097243571543,-0.13936714243205944,0.11212171081763544,26.324958348447492,14.11006929053049,100.85908356375222,13.626875822350517,-0.10831484304202652,0.11697482064738775,14.432474238951077,15.202098726649329,87.87739625003226,13.326204939713097,-0.12973328028935974,0.12309961264807133
38.0,9.928799288450156,11.670137268012537,84.1083831839651,12.243860647629132,-0.021435388913137413,0.08980203063702989,15.43680869890733,9.537448357240619,97.19273889101939,13.000077338483337,-0.04677301560479502,0.06951043455701998,17.851057877369886,11.449026873305321,102.8227614997384,15.500465180807895,-0.02956141049258594,0.09468876876099436,25.034966594463416,16.43068490023678,100.36196562928772,16.818399784349044,-0.05998560488815642,0.16809582258205516,14.440627355574096,15.190187758270323,94.10448177607454,12.382776592590899,-0.04483070148216668,0.08854253468671665,17.43238143321961,14.68629967137115,83.50587358934254,11.992357263899699,-0.1448055910582323,0.14649914443488132,21.112016626266513,15.737674279067782,95.22647478001417,14.312347870776607,-0.1448767616793295,0.11545923998853079,28.54134695975075,14.062868887022825,99.83021486531929,14.010496315418813,-0.14490585627957472,0.11105144597885948,27.910449520966008,13.79240610025858,101.16643742752355,13.404178900655412,-0.11252851266602276,0.11658312711326442,16.22168519224997,15.281019492890138,88.75912831271901,13.28078199172349,-0.1346002274083922,0.12300188428814958
39.0,11.142315747732413,11.669388769111182,84.46070222288753,12.228466222007398,-0.024004307003594794,0.09032812346208602,17.22435958383752,9.497918084691502,97.65616159186487,12.990957466054638,-0.052765267370167956,0.06772230431459235,19.627214362683937,11.512241657414682,103.0817539512218,15.46169833106577,-0.034412875617572274,0.09599559696180227,26.307446029885316,16.085604359828324,100.59187389482106,16.627371655990686,-0.06108812604874702,0.1669727225789788,15.880601729861587,14.73979947434884,94.3203036840838,12.270480159698385,-0.04758998961827274,0.08748793368465438,19.049136654208443,14.69937082231067,84.25922673827773,11.929996748833236,-0.14880259253605269,0.14797360274507185,22.883443004613177,15.874561156572677,95.7722878372115,14.120229708409687,-0.1490904265744603,0.11602857135699259,30.45752670372395,14.120298844759704,100.22322822850842,13.778915208022385,-0.15026074772902115,0.10974686356679939,29.486275449027612,13.429705004852094,101.39546134762469,13.186329517469556,-0.11695525327266296,0.11601868936712698,18.030649864357983,15.358094974663295,89.56131491659126,13.207311681028377,-0.13972719008137782,0.12281752281097395
40.0,12.3595745635445,11.648190160406154,84.6833769847349,12.20788055505466,-0.02662623277674733,0.09072154907610211,18.984675600258363,9.391553815667383,97.97634224677695,12.911132042671948,-0.058478874282379543,0.06622130282489708,21.347849586885573,11.517092063690916,103.23959263593353,15.383220478431433,-0.03888762899719931,0.09764275598910206,27.571588802862205,15.7137537878917,100.68584245051494,16.33632331990051,-0.06215602051633959,0.16562330595276395,17.290662018835647,14.275836816289425,94.34573715366481,12.159336814105801,-0.05048795735561378,0.08655016085638735,20.6746554391314,14.75888365997257,84.91812718058223,11.878999248156756,-0.15310571914152712,0.14955229583973237,24.669911408861246,15.94669580211418,96.24848083692856,13.888717878312482,-0.1534408012007798,0.1165754753298491,32.32530076285325,14.15300873787581,100.50151002586061,13.486334634545079,-0.15545413220744927,0.10820201362032505,31.0435842281247,13.038944453326273,101.54226539127131,12.965453266678676,-0.12148604889237699,0.1153248163288537,19.857983119127724,15.447328524379417,90.30197932929887,13.133760488653342,-0.1450497459432662,0.12269835666985378
41.0,13.589539335902304,11.610699603809463,84.80173628881379,12.161843129140431,-0.029342993969744144,0.09101436950194725,20.744322048150117,9.201556998084389,98.13900599861303,12.761721070397169,-0.06401797251442896,0.06491678548547236,23.03003077412696,11.470851344273443,103.2554990147449,15.243870319592988,-0.043196821859276265,0.09931047969353263,28.811157717495757,15.320649938755139,100.63417096774901,15.9883476826924,-0.06322362162386083,0.16388210850419674,18.675104977573355,13.79410074037158,94.20613687574735,12.053906288671218,-0.053527816351025374,0.08576221306352484,22.302826101420937,14.850765269488194,85.47566994250698,11.821599927212702,-0.15767711894351977,0.15110398442105047,26.46390836059372,15.953031412661748,96.65801301518728,13.639027842461488,-0.15797741879190602,0.11695312914693054,34.136266459078556,14.166224801648914,100.67477108210005,13.152069549613026,-0.16046439955865033,0.10659816558550202,32.58206587300714,12.637641059978241,101.61327383142924,12.721445499633655,-0.12607185654214506,0.11459477941307906,21.704423830834273,15.543869974156,90.99174804054145,13.0622552062189,-0.15048560243671708,0.12273840444636293
